,region,gravity,type,2016,2017,2018,2019,2020,2021
252,Магаданская область,тяжких,несовершеннолетними или при их соучастии,23,29,12,16,15,11
253,Приморский край,тяжких,несовершеннолетними или при их соучастии,218,199,168,181,165,176
254,Республика Саха (Якутия),тяжких,несовершеннолетними или при их соучастии,97,97,81,126,76,59
255,Сахалинская область,тяжких,несовершеннолетними или при их соучастии,57,60,48,52,72,73
256,Хабаровский край,тяжких,несовершеннолетними или при их соучастии,146,95,98,103,98,110
257,Чукотский автономный округ,тяжких,несовершеннолетними или при их соучастии,3,5,2,8,4,3
258,Российская Федерация,средней тяжести,несовершеннолетними или при их соучастии,28024,24269,23484,21517,18860,14913
259,Белгородская область,средней тяжести,несовершеннолетними или при их соучастии,129,112,109,126,92,96
260,Брянская область,средней тяжести,несовершеннолетними или при их соучастии,177,171,142,120,93,92
261,Владимирская область,средней тяжести,несовершеннолетними или при их соучастии,348,299,218,201,168,179
262,Воронежская область,средней тяжести,несовершеннолетними или при их соучастии,351,363,311,328,266,188
263,Ивановская область,средней тяжести,несовершеннолетними или при их соучастии,152,116,142,144,139,91
264,Калужская область,средней тяжести,несовершеннолетними или при их соучастии,224,246,223,184,200,167
265,Костромская область,средней тяжести,несовершеннолетними или при их соучастии,127,160,179,110,59,51
266,Курская область,средней тяжести,несовершеннолетними или при их соучастии,208,201,179,140,133,86
267,город Москва,средней тяжести,несовершеннолетними или при их соучастии,265,226,215,198,194,155
268,Московская область,средней тяжести,несовершеннолетними или при их соучастии,624,567,470,478,458,370
269,Липецкая область,средней тяжести,несовершеннолетними или при их соучастии,147,134,149,182,136,116
270,Орловская область,средней тяжести,несовершеннолетними или при их соучастии,112,115,70,96,74,32
271,Рязанская область,средней тяжести,несовершеннолетними или при их соучастии,162,77,106,84,123,48
272,Смоленская область,средней тяжести,несовершеннолетними или при их соучастии,118,145,178,145,161,110
273,Тамбовская область,средней тяжести,несовершеннолетними или при их соучастии,141,94,122,126,99,75
274,Тверская область,средней тяжести,несовершеннолетними или при их соучастии,284,182,196,155,210,137
275,Тульская область,средней тяжести,несовершеннолетними или при их соучастии,205,158,177,140,100,95
276,Ярославская область,средней тяжести,несовершеннолетними или при их соучастии,276,218,175,166,141,120
277,Архангельская область (кроме Ненецкого автономного округа),средней тяжести,несовершеннолетними или при их соучастии,356,383,340,331,276,200
278,Ненецкий автономный округ (Архангельская область),средней тяжести,несовершеннолетними или при их соучастии,26,10,24,22,8,9
279,город Санкт-Петербург,средней тяжести,несовершеннолетними или при их соучастии,324,235,338,202,191,188
280,Ленинградская область,средней тяжести,несовершеннолетними или при их соучастии,286,174,269,207,176,155
281,Вологодская область,средней тяжести,несовершеннолетними или при их соучастии,487,299,283,338,246,128
